,provinceName,cityName,confirmed,cured,dead,suspected,longitude,latitude
158,山东省,青岛,35,3,0,0,120.38945519114627,36.072227496663224
159,山东省,临沂,30,1,0,0,118.36353300501388,35.11067124236514
160,山东省,济南,29,0,0,0,117.12639941261048,36.65655420178723
161,山东省,烟台,27,0,0,0,121.45441541730195,37.470038383730525
162,山东省,威海,27,2,0,0,122.12754097831325,37.5164305480148
163,山东省,济宁,25,3,0,0,116.59361234853988,35.420177394529645
164,山东省,德州,24,1,0,0,116.36555674397471,37.441308454576266
165,山东省,枣庄,17,0,0,0,117.33054194483897,34.815994048435115
166,山东省,潍坊,16,0,0,0,119.16837791142822,36.71265155126753
167,山东省,淄博,14,0,0,0,118.06145253489896,36.81908568332188
168,山东省,泰安,14,1,0,0,117.0944948347959,36.2058580448846
169,山东省,日照,14,0,0,0,119.53341540456555,35.42283899843767
170,山东省,聊城,12,0,0,0,115.99158784830443,36.46275818769411
171,山东省,菏泽,12,2,0,0,115.48754503343376,35.23940742476551
172,山东省,滨州,11,2,0,0,117.9774040171467,37.3881961960769
173,四川省,成都,92,17,1,0,104.08153351042463,30.655821878416408
174,四川省,南充,28,1,0,0,106.11750261487227,30.843782508337036
175,四川省,广安,24,1,0,0,106.63955268233484,30.461746110678995
176,四川省,绵阳,17,2,0,0,104.6855618607612,31.473663048745863
177,四川省,达州,17,1,0,0,107.47459385897544,31.214307723927455
178,四川省,内江,15,0,0,0,105.06458802499718,29.58588653832045
179,四川省,巴中,15,0,0,0,106.7515853031645,31.872888585956545
180,四川省,德阳,12,0,0,0,104.40441936496448,31.133115003656755
181,四川省,攀枝花,11,0,0,0,101.72554117091441,26.58803317333301
182,四川省,泸州,10,0,0,0,105.4485240693266,28.87766830360723
183,四川省,甘孜州,10,0,0,0,101.96854674579022,30.05527884351838
184,四川省,自贡,9,0,0,0,104.78444884671711,29.345584921327575
185,四川省,宜宾,7,0,0,0,104.6494037048691,28.75800702855183
186,四川省,凉山州,7,0,0,0,102.2735026809702,27.88775230036972
187,四川省,广元,6,0,0,0,105.85042318166482,32.44161630531542
188,四川省,雅安,6,0,0,0,103.04954262360451,30.01679254570607
189,四川省,遂宁,5,1,0,0,105.5994215306444,30.53909767110912
190,四川省,眉山,5,1,0,0,103.85656331579456,30.082526119421058
191,四川省,乐山,2,0,0,0,103.7725376036347,29.55794071745811
192,四川省,资阳,2,0,0,0,104.6344353416441,30.13495655925314
193,四川省,阿坝州,1,0,0,0,102.23141546175019,31.905511577266523
194,北京市,海淀区,45,0,0,0,116.3054340544974,39.96548984110075
195,北京市,朝阳区,43,0,0,0,125.295401255854,43.84064147496199
196,北京市,西城区,29,0,0,0,116.37251358116619,39.91812360584148
197,北京市,大兴区,29,0,0,0,116.348625212231,39.73255523655448
198,北京市,外来务工人员,21,0,0,0,,
199,北京市,丰台区,20,3,0,0,116.29240188731139,39.8649371975573
200,北京市,昌平区,15,0,0,0,116.23761791731043,40.22641337159427
201,北京市,通州区,13,0,0,0,121.08142549497644,32.07035573967588
202,北京市,房山区,11,0,0,0,116.14944375184247,39.75432583977336
203,北京市,石景山区,7,0,0,0,116.22961266775826,39.911353808778294
204,北京市,东城区,6,0,0,0,116.4224009776628,39.93482727239599
205,北京市,顺义区,6,0,0,0,116.66142426369096,40.13635076223076
206,北京市,怀柔区,4,0,0,0,116.63838587142932,40.32261840426579
207,北京市,门头沟区,3,0,0,0,116.10760355576534,39.94614672003409
208,北京市,延庆区,1,0,0,0,115.98163156901515,40.46216897375426
209,北京市,未明确地区,0,21,1,0,,
210,上海市,外地来沪人员,86,0,0,0,117.02338513454245,25.996026557034824
211,上海市,浦东,46,0,0,0,121.40864773970463,30.884386816682355
212,上海市,静安,13,0,0,0,121.45343177276851,31.233844930401652
213,上海市,徐汇,12,0,0,0,121.44339635276381,31.194556772822725
214,上海市,宝山,12,0,0,0,121.4965630135246,31.41027947347614
215,上海市,闵行,12,0,0,0,121.38861193361008,31.118842580087428
216,上海市,松江,10,0,0,0,121.23447959624146,31.037135176464492
217,上海市,长宁,9,0,0,0,121.43045437545099,31.226847968225428
218,上海市,虹口,7,0,0,0,121.51158645453457,31.269746698931357
219,上海市,奉贤,7,0,0,0,121.48050373643107,30.923720110285377
220,上海市,普陀,6,0,0,0,121.40356934916508,31.254973368279597
221,上海市,杨浦,6,0,0,0,121.53251993732523,31.265524144657057
222,上海市,黄浦,5,0,0,0,121.49158559252436,31.23724715206362
223,上海市,嘉定,4,0,0,0,,
224,上海市,青浦,4,0,0,0,,
225,上海市,金山,2,0,0,0,121.61556655498568,25.220154419135568
226,上海市,崇明,2,0,0,0,121.40355686271847,31.62856998440405
227,上海市,未明确地区,0,15,1,0,,
228,福建省,福州,55,4,0,0,119.30346983854001,26.080429420698078
229,福建省,莆田,38,1,0,0,119.0145209781265,25.45986545592271
230,福建省,泉州,37,5,0,0,118.68244626680422,24.879952330498313
231,福建省,厦门,21,1,0,0,118.09643549976651,24.485406605176305
232,福建省,漳州,15,0,0,0,117.65357645298785,24.51892979117087
233,福建省,宁德,14,1,0,0,119.55451074542829,26.672241711408567
234,福建省,南平,12,0,0,0,118.1843695481426,26.647772874203266
235,福建省,三明,11,0,0,0,117.64552116782143,26.269736515991838
236,福建省,龙岩,2,0,0,0,117.02344756677536,25.081219844871676
237,黑龙江省,哈尔滨,73,6,0,0,126.54161509031663,45.808825827952184
238,黑龙江省,绥化,24,0,2,0,126.97535687530133,46.6600321798244
239,黑龙江省,齐齐哈尔,20,0,0,0,123.92457086841536,47.3599771860153
240,黑龙江省,双鸭山,16,1,0,0,131.16534168078073,46.65318589588607
241,黑龙江省,鸡西,12,0,0,0,130.97561865876668,45.300872317823895
242,黑龙江省,大庆,11,0,0,0,125.10865763402039,46.59363317672175
243,黑龙江省,佳木斯,11,0,0,0,130.327359092573,46.80568999085779
244,黑龙江省,七台河,9,0,0,0,131.01154459102744,45.77630032154785
245,黑龙江省,牡丹江,9,0,0,0,129.6395397783469,44.55624570898632
246,黑龙江省,鹤岗,2,0,0,0,130.3044328986694,47.35605615768509
247,黑龙江省,大兴安岭,2,0,0,0,124.15292785448057,50.42002595502784
248,黑龙江省,黑河,1,0,0,0,127.53548988621854,50.25127231175015
249,陕西省,西安,70,5,0,0,108.94646555063274,34.34726881662395
